fclty_id|fclty_nm|area_addr|city_do_cd|ctprvn_nm|signgu_cd|signgu_nm|adstrd_cd|adstrd_nm|la|lo
AC3|구로아트밸리예술극장|서울특별시 구로구 가마산로25길 9-24|11|서울특별시|11170|구로구|1117052|구로1동|37.496562|126.88897800000001
AC4|금나래아트홀|서울특별시 금천구 시흥대로73길 금천구청 내 |11|서울특별시|11180|금천구|1118057|시흥1동|37.45669|126.89652
AC98|서천군문예의전당|충청남도 서천군 서천로 14번길6-11|34|충청남도|34340|서천군|3434012|서천읍|36.075804|126.698625
AC99|아산시 평생학습문화센터|충청남도 아산시 남부로92 |34|충청남도|34040|아산시|3404055|온양5동|36.770459|126.991956
AC100|예산군문예회관|충청남도 예산군 예산읍 아리랑로 185-14|34|충청남도|34370|예산군|3437011|예산읍|36.685432|126.849434
AC101|청양문화예술회관|충남 청양군 청양읍 문화예술로 187|34|충청남도|34350|청양군|3435011|청양읍|36.454549|126.80066799999999
AC102|충청남도문화예술회관|충남 홍성군 홍북읍 충남대로 21|34|충청남도|34360|예산군|3436013|삽교읍|36.660115000000005|126.672482
AC153|영화의전당|부산광역시 해운대구 수영강변대로 120|21|부산광역시|21090|해운대구|2109073|우1동|35.170944|129.12751799999998
AC103|충청남도교육청학생교육문화원|충청남도 천안시 동남구 옛농고 1길 41|34|충청남도|34011|천안시 동남구|3401152|문성동|36.809456|127.156806
AC104|태안군문화예술과|충청남도 태안군 태안읍 백화로 200|34|충청남도|34380|태안군|3438011|태안읍|36.754205|126.312122
AC105|홍주문화회관|충청남도 홍성군 홍성읍 내포로 164|34|충청남도|34360|홍성군|3436011|홍성읍|36.59475|126.65191100000001
AC106|단양문화예술회관|충청북도 단양읍 중앙1로 32|33|충청북도|33380|단양군|3338011|단양읍|36.984664|128.365783
AC107|옥천문화예술회관|충청북도 옥천군 옥천읍 문정1길 32|33|충청북도|33330|옥천군|3333011|옥천읍|36.303763000000004|127.574105
AC108|음성문화예술회관|충청북도 음성군 음성읍 예술로102|33|충청북도|33370|음성군|3337011|음성읍|36.931521000000004|127.68057900000001
AC109|제천시문화회관|충청북도 제천시 의림대로 6길 32|33|충청북도|33030|제천시|3303060|화산동|37.130495|128.21059499999998
AC110|증평문화회관|충청북도 증평군 증평읍 삼보로 28|33|충청북도|33390|증평군|3339014|증평읍|36.785794|127.569996
AC111|진천화랑관|충청북도 진천군 진천읍 문화로69-4|33|충청북도|33350|진천군|3335011|진천읍|36.849562|127.44011499999999
AC114|충청북도중원교육문화원|충청북도 충주시 호암대로 50|33|충청북도|33020|충주시|3302058|호암·직동|36.956955|127.93055600000001
AC115|충청북도교육문화원|충청북도 청주시 청원구 공항로 287번길 56|33|충청북도|33044|청주시 청원구|3304451|오근장동|36.682807000000004|127.479995
AC116|세종시문화예술회관|세종특별자치시 조치원읍 문예회관길 22|29|세종특별자치시|29010|세종특별자치시|2901011|조치원읍|36.599776|127.287582
AC117|웃는얼굴아트센터|대구광역시 달서구 문화회관길160(장기동)|22|대구광역시|22070|달서구|2207059|장기동|35.843171999999996|128.522523
AC118|달성아트센터|대구광역시 달성군 대실역북로2길 188|22|대구광역시|22310|달성군|2231013|다사읍|35.86548|128.460937
AC119|아양아트센터|대구광역시 동구 효동로 2길 24|22|대구광역시|22020|동구|2202060|효목1동|35.87962|128.651918
AC120|대구오페라하우스|대구광역시 북구 호암로15(칠성동2가)|22|대구광역시|22050|북구|2205052|칠성동|35.883454|128.592208
AC121|수성아트피아|대구광역시 무학로 180(지산동)|22|대구광역시|22060|수성구|2206067|지산1동|35.871418|128.601797
AC122|대구학생문화센터|대구광역시 달서구 용산로181(용산동)|22|대구광역시|22070|달서구|2207073|용산1동|35.85302|128.529507
AC124|어울아트센터|대구광역시 북구 구암로 47(관음동)|22|대구광역시|22050|북구|2205077|관음동|35.934722|128.546198
AC125|대구서구문화회관|대구광역시 서구 당산로403|22|대구광역시|22030|서구|2203066|상중이동|35.872625|128.54548400000002
AC126|봉산문화회관|대구광역시 중구 봉산문화길 77(봉산동)|22|대구광역시|22010|중구|2201056|성내1동|35.863378000000004|128.596576
AC129|경주예술의전당|경상북도 경주시 알천북로 1(황성동,988)|37|경상북도|37020|경주시|3702063|황성동|35.862288|129.206626
AC112|청주예술의전당|충청북도 청주시 서원구 흥덕로 69|33|충청북도|33042|청주시 서원구|3304251|사직1동|36.641913|127.47026100000001
AC113|충주시문화회관|충청북도 충주시 중앙로 128(성내동)|33|충청북도|33020|충주시|3302051|성내·충인동|36.970621|127.937215
AC128|대구콘서트하우스|대구광역시 중구 태평로 141|22|대구광역시|22010|중구|2201059|성내2동|35.876028000000005|128.59381399999998
AC131|경산시민회관|경상북도 경산시 계양로 28|37|경상북도|37100|경산시|3710055|북부동|35.818267999999996|128.747825
AC132|대가야문화누리|경상북도 고령군 대가야읍 왕릉로 30|37|경상북도|37370|고령군|3737012|대가야읍|35.723574|128.26308
AC134|군위 삼국유사교육문화회관|경상북도 군위군 군위읍 군청로 158|37|경상북도|37310|군위군|3731011|군위읍|36.237466999999995|128.574452
AC29|인천수봉문화회관|인천광역시 남구 수봉안길 78|23|인천광역시|23090|미추홀구|2309075|숭의1·3동|37.461279|126.66218899999998
AC45|안양아트센터 |경기도 안양시 만안구 문예로 36번길 16(안양동) |31|경기도|31041|안양시 만안구|3104151|안양1동|37.3846631|126.93128770000001
AC46|평촌아트홀 |경기도 안양시 동안구 평촌대로 76(호계동)|31|경기도|31042|안양시 동안구|3104263|호계2동|37.3799616|126.9639676
AC37|고양어울림누리 |경기도 고양시 덕양구 어울림로 33|31|경기도|31101|고양시 덕양구|3110153|흥도동|37.6495942|126.8345322
AC36|고양아람누리 |경기도 고양시 일산동구 중앙로 1286 |31|경기도|31103|고양시 일산동구|3110356|마두1동|37.661145899999994|126.7739935
AC51|화성아트홀 |경기도 화성시 태안로 145|31|경기도|31240|화성시|3124054|병점2동|37.202965899999995|127.0332029
AC52|반석아트홀 |경기도 화성시 노작로 134|31|경기도|31240|화성시|3124061|동탄1동|37.200644399999995|127.07512659999998
AC213|고창문화의전당|전라북도 고창군 고창읍 모양성로 11|35|전라북도|35370|고창군|3537011|고창읍|35.433203999999996|126.70451000000001
AC135|김천시문화예술회관|경상북도 김천시 운동장길3|37|경상북도|37030|김천시|3703056|대신동|36.138265999999994|128.08863200000002
AC136|문경문화예술회관|경상북도 문경시 신흥로 85|37|경상북도|37090|문경시|3709058|점촌1동|36.590314|128.197808
AC137|상주문화회관|경상북도 상주시 상산로 235|37|경상북도|37080|상주시|3708052|남원동|36.4119|128.159177
AC138|성주문화예술회관|경상북도 성주군 성주읍 성산9길 45|37|경상북도|37380|성주군|3738011|성주읍|35.918317|128.30143
AC139|안동문화예술의전당|경상북도 안동시 축제장길66(안흥동373-4)|37|경상북도|37040|안동시|3704062|서구동|36.559432|128.725291
AC140|천마아트센터|경북 경산시 대동 228|37|경상북도|37100|경산시|3710055|북부동|35.830479|128.7582
AC141|예주문화예술회관|경상북도 영덕군 영해면 318만세길 36|37|경상북도|37350|영덕군|3735036|영해면|36.529722|129.405085
AC142|영주문화예술회관|경상북도 영주시 가흥로 257(가흥동)|37|경상북도|37060|영주시|3706062|가흥1동|36.819694|128.613431
AC143|영천시민회관|경상북도 영천시 시청로 17|37|경상북도|37070|영천시|3707052|중앙동|35.972203|128.93756499999998
AC144|예천군문화회관|경상북도 예천군 예천읍 충효료 209-15|37|경상북도|37400|예천군|3740011|예천읍|36.656665000000004|128.453439
