no,rgs_de,area_lc,ty,genre_cl,ticket_se,dscnt_rt,pblprfr_nm,adhrnc_nm,prfplc_pd,prfplc_nm,viewng_grad_dc
7620,2018-11-16,광주,공연,연극,무료티켓,100%,[광주]2018 크리스마스 특별공연 <러브액츄얼리 오리지날> - 광주(객석나눔),주식회사플레이더부산,2018-12-21~2018-12-23,국립아시아문화전당 극장3,만 13세 이상 관람가
7621,2018-11-16,광주,공연,연극,할인티켓,50%,[광주]2018 크리스마스 특별공연 <러브액츄얼리 오리지날> - 광주,주식회사플레이더부산,2018-12-21~2018-12-24,국립아시아문화전당 극장3,만 13세 이상 관람가
7622,2018-11-16,부산,공연,연극,할인티켓,60%,[부산]연극<영도다리 점바치> - 전설의 박도사를 불러라,극단 자유바다,2018-12-04~2018-12-09,부산 청춘나비아트홀,12세 이상 관람가
7623,2018-11-19,서울,공연,연극,무료티켓,100%,[서울]연극<황야의 물고기>(객석나눔),팀플레이예술기획(주),2018-11-28~2018-12-02,대학로 SH 아트홀,만 13세 이상 관람가
7624,2018-11-19,서울,공연,뮤지컬,할인티켓,50%,[서울]뮤지컬<날개잃은 천사>,조이피플,2018-12-08~2019-06-01,북촌나래홀,12세 이상 관람가
7625,2018-11-19,서울,공연,연극,할인티켓,65%,[서울]연극<황야의 물고기>,팀플레이예술기획(주),2018-11-28~2018-12-02,대학로 SH 아트홀,만 13세 이상 관람가
7626,2018-11-20,경기,공연,아동극,무료티켓,100%,[경기]2018 어린이율동놀이뮤지컬<호비쇼>-용인(객석나눔),(주)화랑엔터테인먼트,2018-12-22~2018-12-23,용인문예회관 처인홀,전체관람가
7627,2018-11-20,부산,공연,뮤지컬,무료티켓,100%,[부산]컬투 정찬우의 코믹뮤지컬<프리즌>(객석나눔),극단 화랑,2018-12-24~2018-12-24,부산시민회관 소극장,48개월 이상 관람가
7628,2018-11-20,경기,공연,아동극,할인티켓,50%,[경기]2018 어린이율동놀이뮤지컬<호비쇼>-용인,(주)화랑엔터테인먼트,2018-12-22~2018-12-23,용인문예회관 처인홀,전체관람가
7629,2018-11-20,부산,공연,뮤지컬,할인티켓,50%,[부산]컬투 정찬우의 코믹뮤지컬<프리즌>,극단 화랑,2018-12-22~2018-12-25,부산시민회관 소극장,48개월 이상 관람가
7630,2018-11-21,서울,공연,국악,무료티켓,100%,[서울]해설이 있는 국악<풍류산방4>(객석나눔),재단법인 종로문화재단,2018-11-24~2018-12-08,무계원,전체관람가
7631,2018-11-21,서울,공연,클래식,무료티켓,100%,[서울]서울모테트합창단 창단 30주년 기념 마스터피스 시리즈 Ⅱ - 헨델의 메시아(객석나눔),재단법인 서울모테트음악재단,2018-12-11~2018-12-11,예술의전당 콘서트홀,8세 이상 관람가
7632,2018-11-21,서울,공연,클래식,할인티켓,50%,[서울]서울모테트합창단 창단 30주년 기념 마스터피스 시리즈 Ⅱ - 헨델의 메시아,재단법인 서울모테트음악재단,2018-12-11~2018-12-11,예술의전당 콘서트홀,8세 이상 관람가 
7633,2018-11-22,서울,공연,연극,무료티켓,100%,[서울]Looking for capitalism - bitcoin(객석나눔),극단 플레이 슈터,2018-12-06~2018-12-16,대학로 마당세실,14세 이상 관람가 중학생 이상 관람가
7634,2018-11-22,서울,공연,연극,할인티켓,50%,[서울]Looking for capitalism - bitcoin,극단 플레이 슈터,2018-12-06~2018-12-16,대학로 마당세실,14세 이상 관람가 중학생 이상 관람가
7635,2018-11-23,서울,공연,연극,무료티켓,100%,[서울]호신술(객석나눔),(재)국립극단,2018-12-05~2018-12-16,백성희장민호극장,14세 이상 관람가 중학생 이상 관람가
7636,2018-11-26,서울,공연,발레/무용,할인티켓,50%,[서울]구제,고블린 파티,2018-12-01~2018-12-02,서울무용센터,7세 이상 관람가
7637,2018-11-27,서울,공연,아동극,무료티켓,100%,[서울]<쪼아맨과 멜롱이> - 스마트폰 바이러스 소탕 대작전(객석나눔),주식회사 제이디비엔터테인먼트,2018-12-01~2018-12-01,JDB스퀘어,36개월 이상 관람가
7638,2018-11-27,서울,공연,연극,무료티켓,100%,[서울]막다른 곳의 궁전(객석나눔),디렉터그 42,2018-11-29~2018-12-07,대학로 나온씨어터,만 16세 이상 관람가
7639,2018-11-27,전북,공연,콘서트,무료티켓,100%,[전북]2018 김경호 전국투어 콘서트 <COMBAT> - 전주(객석나눔),컴퍼니에이이엔티 주식회사,2018-12-01~2018-12-01,전북대학교 삼성문화회관,만 7세 이상 관람가
7640,2018-11-27,서울,공연,클래식,할인티켓,50%,[서울]2018 제37회 대한민국작곡상 연주회,(사)한국음악협회,2018-12-07~2018-12-07,KBS홀,8세 이상 관람가 초등학생 이상 관람가
7641,2018-11-27,서울,공연,연극,할인티켓,75%,[서울]막다른 곳의 궁전,디렉터그 42,2018-11-29~2018-12-16,대학로 나온씨어터,만 16세 이상 관람가
7642,2018-11-28,부산,공연,클래식,무료티켓,100%,"[부산]<제67회 을숙도 명품콘서트> - 말러, 교향곡의 새 시대를 열다(객석나눔)",을숙도문화회관,2018-12-13~2018-12-13,을숙도문화회관 대공연장 (부산),8세 이상 관람가 초등학생 이상 관람가
7643,2018-11-28,광주,공연,콘서트,할인티켓,85%,[광주]2018 변진섭 소확행 콘서트 - 광주,컴퍼니에이이엔티 주식회사,2018-12-01~2018-12-01,광주문화예술회관 소극장,만 7세 이상 관람가
7644,2018-11-29,서울,공연,클래식,무료티켓,100%,"[서울]<2018 구로 클래식 페스타> - 너와 나, 우리의 클래식(객석나눔)",(재)구로문화재단,2018-12-07~2018-12-07,구로아트밸리 예술극장,36개월 이상 관람가
7645,2018-11-29,서울,공연,클래식,무료티켓,100%,[서울]<2018 구로 클래식 페스타> - 개막공연(객석나눔),(재)구로문화재단,2018-12-01~2018-12-01,구로아트밸리 예술극장,36개월 이상 관람가
7646,2018-11-30,서울,공연,클래식,무료티켓,100%,[서울]2018 송년콘서트<우리 가곡의 밤>(객석나눔),(재)구로문화재단,2018-12-12~2018-12-12,구로아트밸리 예술극장,만 5세 이상 관람가
7647,2018-12-03,서울,공연,콘서트,무료티켓,100%,"[서울]대장경, 서창악(객석나눔)",국립박물관문화재단,2018-12-08~2018-12-08,국립중앙박물관 극장 용,만 7세 이상 관람가
7648,2018-12-03,경기,공연,뮤지컬,할인티켓,70%,[경기]어린이뮤지컬<출동! 슈퍼윙스> - 파라오를 찾아서!,엔씨컴퍼니,2019-01-04~2019-03-03,한국잡월드 나래울극장,전체관람가
